# {'seed': 805189, 'leaf_prob': 0.1, 'mutation_prob': 0.05, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.06731066018314891,0.021446886174024415,0.00048318135702285925,3,67,32
G1,0.07190575805002825,0.026071338128525676,0.00048318135702285925,0,42,57
G2,0.07190575805002825,0.024354188237909087,0.00048318135702285925,3,46,53
G3,0.07190575805002825,0.0268541343463001,0.00048318135702285925,1,41,58
G4,0.07190575805002825,0.026607300565455808,4.09297286671355e-05,1,52,47
G5,0.07190575805002825,0.02927993252034712,0.00048318135702285925,1,55,44
G6,0.10563401786440331,0.032387241475366924,0.00048318135702285925,6,47,52
G7,0.10563401786440331,0.034696631642216695,0.00048318135702285925,5,56,43
G8,0.10563401786440331,0.038567185325381365,0.00048318135702285925,1,52,47
G9,0.10563401786440331,0.0429073412282037,0.00048318135702285925,5,45,54
G10,0.10563401786440331,0.041794868268495274,0.00048318135702285925,1,56,43
G11,0.10563401786440331,0.04191561324935409,0.00031796836904549107,3,48,51
G12,0.10563401786440331,0.04615643045536388,0.00048318135702285925,2,48,51
G13,0.14152234824124107,0.04747086819043912,0.00031796836904549107,11,47,52
G14,0.14152234824124107,0.04732811945879788,1.356957979045803e-05,0,45,54
G15,0.14152234824124107,0.04619573847582256,0.00048318135702285925,2,46,53
G16,0.14152234824124107,0.047721894638592985,0.0020690983048495615,2,47,52
G17,0.14152234824124107,0.05043935102530783,0.00031796836904549107,3,44,55
G18,0.14152234824124107,0.05239400880723024,0.00048318135702285925,2,36,63
G19,0.14152234824124107,0.052539899093876664,0.00048318135702285925,2,41,58
G20,0.14152234824124107,0.050965673143106544,0.00048318135702285925,2,47,52
G21,0.14152234824124107,0.058625324583352685,5.514778287443675e-06,1,32,67
G22,0.14152234824124107,0.05556006946137435,0.00048318135702285925,1,44,55
G23,0.14152234824124107,0.054889012212426265,0.00048318135702285925,1,47,52
G24,0.14152234824124107,0.05911200032820598,0.0009036810677518624,5,42,57
G25,0.14152234824124107,0.05917591076803411,0.00048318135702285925,8,43,56
G26,0.14152234824124107,0.05511957249410698,0.0009036810677518624,2,49,50
G27,0.14152234824124107,0.053418892611290125,0.00020485392158005666,2,45,54
G28,0.14152234824124107,0.05430200510721378,0.00048318135702285925,3,37,62
G29,0.14152234824124107,0.05784691855507601,0.00048318135702285925,4,39,60
G30,0.14152234824124107,0.057320071666313116,0.00048318135702285925,2,45,54
G31,0.14152234824124107,0.05805873520448534,0.00048318135702285925,1,40,59
G32,0.14152234824124107,0.055658099980527086,0.00048318135702285925,5,56,43
G33,0.14152234824124107,0.061631854475665875,0.00020485392158005666,8,45,54
G34,0.14152234824124107,0.05697786975881893,0.00020485392158005666,7,51,48
G35,0.14152234824124107,0.06172001723710063,0.00018744445845371883,3,49,50
G36,0.14152234824124107,0.06540530899082783,1.356957979045803e-05,4,49,50
G37,0.14152234824124107,0.06171388676862844,0.00048318135702285925,0,49,50
G38,0.14152234824124107,0.06201383554907655,0.0001675454098696106,3,43,56
G39,0.14152234824124107,0.062277672332175314,0.00031796836904549107,4,53,46
G40,0.14152234824124107,0.06986981320605892,0.00048318135702285925,6,41,58
G41,0.14152234824124107,0.061707071694259305,0.00048318135702285925,2,46,53
G42,0.14152234824124107,0.059453057526590906,4.09297286671355e-05,1,54,45
G43,0.14152234824124107,0.0643341010167101,0.0009036810677518624,1,48,51
G44,0.14152234824124107,0.06527556731018871,0.00031796836904549107,3,53,46
G45,0.14152234824124107,0.06937893189556683,0.006381193617308307,2,36,63
G46,0.14152234824124107,0.061315911797487015,0.00048318135702285925,3,44,55
G47,0.14152234824124107,0.059114317346762056,0.00048318135702285925,4,45,54
